images,label,size_kb,dimensions
./flower_images/Lotus/Lotus_030.jpg,Lotus,682.329,"(4300, 2419)"
./flower_images/Lotus/Lotus_031.jpg,Lotus,4.941,"(275, 183)"
./flower_images/Lotus/Lotus_032.jpg,Lotus,107.36,"(1000, 628)"
./flower_images/Lotus/Lotus_033.jpg,Lotus,8.88,"(259, 194)"
./flower_images/Lotus/Lotus_034.jpg,Lotus,12.512,"(300, 168)"
./flower_images/Lotus/Lotus_035.jpg,Lotus,118.334,"(1024, 682)"
./flower_images/Lotus/Lotus_036.jpg,Lotus,23.693,"(267, 188)"
./flower_images/Lotus/Lotus_037.jpg,Lotus,7.471,"(275, 183)"
./flower_images/Lotus/Lotus_038.jpg,Lotus,46.954,"(800, 527)"
./flower_images/Lotus/Lotus_039.jpg,Lotus,87.61,"(1200, 628)"
./flower_images/Lotus/Lotus_040.jpg,Lotus,251.182,"(1280, 960)"
./flower_images/Lotus/Lotus_041.jpg,Lotus,16.591,"(207, 243)"
./flower_images/Lotus/Lotus_042.jpg,Lotus,11.81,"(194, 259)"
./flower_images/Lotus/Lotus_043.jpg,Lotus,31.519,"(768, 485)"
./flower_images/Lotus/Lotus_044.jpg,Lotus,47.972,"(612, 407)"
./flower_images/Lotus/Lotus_045.jpg,Lotus,40.366,"(600, 540)"
./flower_images/Lotus/Lotus_046.jpg,Lotus,21.624,"(225, 225)"
./flower_images/Lotus/Lotus_047.jpg,Lotus,33.049,"(377, 280)"
./flower_images/Lotus/Lotus_048.jpg,Lotus,86.74,"(800, 531)"
./flower_images/Lotus/Lotus_049.jpg,Lotus,9.954,"(225, 225)"
./flower_images/Lotus/Lotus_050.jpg,Lotus,10.983,"(183, 275)"
./flower_images/Lotus/Lotus_051.jpg,Lotus,15.229,"(275, 183)"
./flower_images/Lotus/Lotus_052.jpg,Lotus,5.818,"(225, 225)"
./flower_images/Lotus/Lotus_053.jpg,Lotus,109.587,"(800, 615)"
./flower_images/Lotus/Lotus_054.jpg,Lotus,44.468,"(450, 450)"
./flower_images/Lotus/Lotus_055.jpg,Lotus,4.192,"(225, 225)"
./flower_images/Lotus/Lotus_056.jpg,Lotus,5.473,"(258, 195)"
./flower_images/Lotus/Lotus_057.jpg,Lotus,10.401,"(225, 225)"
./flower_images/Lotus/Lotus_058.jpg,Lotus,18.078,"(169, 299)"
./flower_images/Lotus/Lotus_059.jpg,Lotus,29.109,"(225, 225)"
./flower_images/Lotus/Lotus_060.jpg,Lotus,6.977,"(194, 260)"
./flower_images/Lotus/Lotus_061.jpg,Lotus,116.502,"(1000, 1500)"
./flower_images/Lotus/Lotus_062.jpg,Lotus,16.321,"(218, 231)"
./flower_images/Lotus/Lotus_063.jpg,Lotus,12.617,"(210, 240)"
./flower_images/Lotus/Lotus_064.jpg,Lotus,135.822,"(1140, 694)"
./flower_images/Lotus/Lotus_065.jpg,Lotus,27.462,"(459, 612)"
./flower_images/Lotus/Lotus_066.jpg,Lotus,15.635,"(225, 225)"
./flower_images/Lotus/Lotus_067.jpg,Lotus,22.178,"(607, 612)"
./flower_images/Lotus/Lotus_068.jpg,Lotus,34.599,"(612, 408)"
./flower_images/Lotus/Lotus_069.jpg,Lotus,12.06,"(300, 199)"
./flower_images/Lotus/Lotus_070.jpg,Lotus,7.002,"(237, 213)"
./flower_images/Lotus/Lotus_071.jpg,Lotus,14.645,"(264, 191)"
./flower_images/Lotus/Lotus_072.jpg,Lotus,81.359,"(650, 650)"
./flower_images/Lotus/Lotus_073.jpg,Lotus,40.439,"(564, 752)"
./flower_images/Lotus/Lotus_074.jpg,Lotus,32.926,"(390, 280)"
./flower_images/Lotus/Lotus_075.jpg,Lotus,12.663,"(274, 184)"
./flower_images/Lotus/Lotus_076.jpg,Lotus,12.235,"(275, 183)"
./flower_images/Lotus/Lotus_077.jpg,Lotus,84.546,"(600, 419)"
./flower_images/Lotus/Lotus_078.jpg,Lotus,189.617,"(1200, 1600)"
./flower_images/Lotus/Lotus_079.jpg,Lotus,51.167,"(1200, 630)"
./flower_images/Lotus/Lotus_080.jpg,Lotus,41.108,"(342, 422)"
./flower_images/Lotus/Lotus_081.jpg,Lotus,99.264,"(640, 960)"
./flower_images/Lotus/Lotus_082.jpg,Lotus,8.899,"(166, 250)"
./flower_images/Lotus/Lotus_083.jpg,Lotus,6.268,"(275, 183)"
./flower_images/Lotus/Lotus_084.jpg,Lotus,8.278,"(269, 187)"
./flower_images/Lotus/Lotus_085.jpg,Lotus,5.698,"(275, 183)"
./flower_images/Lotus/Lotus_086.jpg,Lotus,10.327,"(212, 238)"
./flower_images/Lotus/Lotus_087.jpg,Lotus,190.658,"(2048, 1365)"
./flower_images/Lotus/Lotus_088.jpg,Lotus,100.206,"(509, 509)"
./flower_images/Lotus/Lotus_089.jpg,Lotus,4.891,"(194, 259)"
./flower_images/Lotus/Lotus_090.jpg,Lotus,87.357,"(1200, 1200)"
./flower_images/Lotus/Lotus_091.jpg,Lotus,9.104,"(225, 225)"
./flower_images/Lotus/Lotus_092.jpg,Lotus,525.396,"(3303, 4304)"
./flower_images/Lotus/Lotus_093.jpg,Lotus,19.382,"(259, 194)"
./flower_images/Lotus/Lotus_094.jpg,Lotus,10.676,"(225, 225)"
./flower_images/Lotus/Lotus_095.jpg,Lotus,14.479,"(252, 200)"
./flower_images/Lotus/Lotus_096.jpg,Lotus,13.414,"(275, 183)"
./flower_images/Lotus/Lotus_097.jpg,Lotus,35.133,"(612, 405)"
./flower_images/Lotus/Lotus_098.jpg,Lotus,9.758,"(245, 206)"
./flower_images/Lotus/Lotus_099.jpg,Lotus,73.786,"(1280, 720)"
./flower_images/Lotus/Lotus_100.jpg,Lotus,8.052,"(190, 266)"
./flower_images/Lotus/Lotus_1000.jpg,Lotus,13.959,"(225, 224)"
./flower_images/Lotus/Lotus_101.jpg,Lotus,53.69,"(800, 674)"
./flower_images/Lotus/Lotus_102.jpg,Lotus,28.858,"(350, 350)"
./flower_images/Lotus/Lotus_103.jpg,Lotus,18.702,"(275, 183)"
./flower_images/Lotus/Lotus_104.jpg,Lotus,13.494,"(167, 302)"
./flower_images/Lotus/Lotus_105.jpg,Lotus,138.587,"(920, 1006)"
./flower_images/Lotus/Lotus_106.jpg,Lotus,24.676,"(318, 159)"
./flower_images/Lotus/Lotus_107.jpg,Lotus,28.162,"(539, 360)"
./flower_images/Lotus/Lotus_108.jpg,Lotus,11.295,"(369, 280)"
./flower_images/Lotus/Lotus_109.jpg,Lotus,14.049,"(300, 168)"
./flower_images/Lotus/Lotus_110.jpg,Lotus,5.945,"(225, 225)"
./flower_images/Lotus/Lotus_111.jpg,Lotus,66.943,"(450, 450)"
./flower_images/Lotus/Lotus_112.jpg,Lotus,44.609,"(1000, 665)"
./flower_images/Lotus/Lotus_113.jpg,Lotus,21.476,"(194, 259)"
./flower_images/Lotus/Lotus_114.jpg,Lotus,5.541,"(259, 194)"
./flower_images/Lotus/Lotus_115.jpg,Lotus,12.95,"(225, 225)"
./flower_images/Lotus/Lotus_116.jpg,Lotus,16.14,"(275, 183)"
./flower_images/Lotus/Lotus_117.jpg,Lotus,7.468,"(213, 237)"
./flower_images/Lotus/Lotus_118.jpg,Lotus,163.031,"(1400, 933)"
./flower_images/Lotus/Lotus_119.jpg,Lotus,19.121,"(225, 225)"
./flower_images/Lotus/Lotus_120.jpg,Lotus,17.044,"(259, 194)"
./flower_images/Lotus/Lotus_121.jpg,Lotus,6.594,"(228, 221)"
./flower_images/Lotus/Lotus_122.jpg,Lotus,32.558,"(612, 573)"
./flower_images/Lotus/Lotus_123.jpg,Lotus,9.48,"(225, 225)"
./flower_images/Lotus/Lotus_124.jpg,Lotus,14.357,"(267, 188)"
./flower_images/Lotus/Lotus_125.jpg,Lotus,15.97,"(207, 243)"
./flower_images/Lotus/Lotus_126.jpg,Lotus,12.471,"(275, 183)"
./flower_images/Lotus/Lotus_127.jpg,Lotus,15.265,"(416, 260)"
./flower_images/Lotus/Lotus_128.jpg,Lotus,7.74,"(268, 188)"
./flower_images/Lotus/Lotus_129.jpg,Lotus,9.57,"(275, 183)"
./flower_images/Lotus/Lotus_130.jpg,Lotus,12.068,"(259, 194)"
./flower_images/Lotus/Lotus_131.jpg,Lotus,128.77,"(1146, 1390)"
./flower_images/Lotus/Lotus_132.jpg,Lotus,24.758,"(419, 280)"
./flower_images/Lotus/Lotus_133.jpg,Lotus,42.253,"(540, 540)"
./flower_images/Lotus/Lotus_134.jpg,Lotus,20.505,"(300, 300)"
./flower_images/Lotus/Lotus_135.jpg,Lotus,36.928,"(600, 506)"
./flower_images/Lotus/Lotus_136.jpg,Lotus,10.687,"(275, 183)"
./flower_images/Lotus/Lotus_137.jpg,Lotus,187.033,"(1500, 1000)"
./flower_images/Lotus/Lotus_138.jpg,Lotus,93.474,"(840, 1200)"
./flower_images/Lotus/Lotus_139.jpg,Lotus,76.507,"(600, 600)"
./flower_images/Lotus/Lotus_140.jpg,Lotus,15.973,"(190, 266)"
./flower_images/Lotus/Lotus_141.jpg,Lotus,4.837,"(259, 194)"
./flower_images/Lotus/Lotus_142.jpg,Lotus,216.011,"(1600, 1156)"
./flower_images/Lotus/Lotus_143.jpg,Lotus,86.158,"(736, 981)"
./flower_images/Lotus/Lotus_144.jpg,Lotus,13.235,"(225, 225)"
./flower_images/Lotus/Lotus_145.jpg,Lotus,116.533,"(1000, 779)"
./flower_images/Lotus/Lotus_146.jpg,Lotus,38.366,"(450, 450)"
./flower_images/Lotus/Lotus_147.jpg,Lotus,86.968,"(1920, 1280)"
./flower_images/Lotus/Lotus_148.jpg,Lotus,99.38,"(1280, 1149)"
./flower_images/Lotus/Lotus_149.jpg,Lotus,18.906,"(480, 480)"
./flower_images/Lotus/Lotus_150.jpg,Lotus,72.604,"(1000, 1080)"
./flower_images/Lotus/Lotus_151.jpg,Lotus,7.951,"(214, 236)"
./flower_images/Lotus/Lotus_152.jpg,Lotus,11.599,"(275, 183)"
./flower_images/Lotus/Lotus_153.jpg,Lotus,10.098,"(268, 188)"
./flower_images/Lotus/Lotus_154.jpg,Lotus,11.23,"(194, 259)"
./flower_images/Lotus/Lotus_155.jpg,Lotus,7.634,"(194, 259)"
./flower_images/Lotus/Lotus_156.jpg,Lotus,5.931,"(336, 150)"
./flower_images/Lotus/Lotus_157.jpg,Lotus,7.649,"(265, 190)"
./flower_images/Lotus/Lotus_158.jpg,Lotus,55.739,"(600, 400)"
./flower_images/Lotus/Lotus_159.jpg,Lotus,11.874,"(259, 194)"
./flower_images/Lotus/Lotus_160.jpg,Lotus,21.303,"(275, 183)"
./flower_images/Lotus/Lotus_161.jpg,Lotus,115.7,"(1000, 1499)"
./flower_images/Lotus/Lotus_162.jpg,Lotus,7.03,"(232, 217)"
./flower_images/Lotus/Lotus_163.jpg,Lotus,155.04,"(1920, 1920)"
./flower_images/Lotus/Lotus_164.jpg,Lotus,10.074,"(300, 168)"
./flower_images/Lotus/Lotus_165.jpg,Lotus,28.232,"(630, 354)"
./flower_images/Lotus/Lotus_166.jpg,Lotus,15.384,"(390, 280)"
./flower_images/Lotus/Lotus_167.jpg,Lotus,25.531,"(383, 700)"
./flower_images/Lotus/Lotus_168.jpg,Lotus,18.786,"(247, 204)"
./flower_images/Lotus/Lotus_169.jpg,Lotus,9.674,"(251, 201)"
./flower_images/Lotus/Lotus_170.jpg,Lotus,135.668,"(1500, 1000)"
./flower_images/Lotus/Lotus_171.jpg,Lotus,75.95,"(554, 554)"
./flower_images/Lotus/Lotus_172.jpg,Lotus,43.165,"(640, 640)"
./flower_images/Lotus/Lotus_173.jpg,Lotus,14.218,"(310, 163)"
./flower_images/Lotus/Lotus_174.jpg,Lotus,211.834,"(1500, 1001)"
./flower_images/Lotus/Lotus_175.jpg,Lotus,37.841,"(400, 266)"
./flower_images/Lotus/Lotus_176.jpg,Lotus,12.659,"(275, 183)"
./flower_images/Lotus/Lotus_177.jpg,Lotus,14.224,"(225, 225)"
./flower_images/Lotus/Lotus_178.jpg,Lotus,10.139,"(225, 225)"
./flower_images/Lotus/Lotus_179.jpg,Lotus,122.686,"(1400, 1400)"
./flower_images/Lotus/Lotus_180.jpg,Lotus,6.813,"(275, 183)"
./flower_images/Lotus/Lotus_181.jpg,Lotus,17.835,"(275, 183)"
./flower_images/Lotus/Lotus_182.jpg,Lotus,10.086,"(275, 183)"
./flower_images/Lotus/Lotus_183.jpg,Lotus,136.762,"(1300, 1300)"
./flower_images/Lotus/Lotus_184.jpg,Lotus,11.514,"(297, 170)"
./flower_images/Lotus/Lotus_185.jpg,Lotus,8.243,"(310, 163)"
./flower_images/Lotus/Lotus_186.jpg,Lotus,9.035,"(225, 225)"
./flower_images/Lotus/Lotus_187.jpg,Lotus,119.703,"(800, 868)"
./flower_images/Lotus/Lotus_188.jpg,Lotus,85.974,"(800, 531)"
./flower_images/Lotus/Lotus_189.jpg,Lotus,15.786,"(294, 171)"
./flower_images/Lotus/Lotus_190.jpg,Lotus,139.74,"(1240, 1300)"
./flower_images/Lotus/Lotus_191.jpg,Lotus,87.066,"(1024, 768)"
./flower_images/Lotus/Lotus_192.jpg,Lotus,140.756,"(1500, 996)"
./flower_images/Lotus/Lotus_193.jpg,Lotus,6.79,"(183, 275)"
./flower_images/Lotus/Lotus_194.jpg,Lotus,12.955,"(275, 183)"
./flower_images/Lotus/Lotus_195.jpg,Lotus,8.973,"(183, 275)"
./flower_images/Lotus/Lotus_196.jpg,Lotus,63.009,"(700, 1080)"
./flower_images/Lotus/Lotus_197.jpg,Lotus,18.242,"(288, 175)"
./flower_images/Lotus/Lotus_198.jpg,Lotus,34.18,"(600, 338)"
./flower_images/Lotus/Lotus_199.jpg,Lotus,40.334,"(360, 254)"
./flower_images/Lotus/Lotus_200.jpg,Lotus,7.464,"(300, 168)"
./flower_images/Lotus/Lotus_201.jpg,Lotus,17.042,"(295, 171)"
./flower_images/Lotus/Lotus_202.jpg,Lotus,12.55,"(278, 181)"
./flower_images/Lotus/Lotus_203.jpg,Lotus,9.787,"(290, 174)"
./flower_images/Lotus/Lotus_204.jpg,Lotus,19.589,"(227, 222)"
./flower_images/Lotus/Lotus_205.jpg,Lotus,132.796,"(1071, 1600)"
./flower_images/Lotus/Lotus_206.jpg,Lotus,608.524,"(2560, 2560)"
./flower_images/Lotus/Lotus_207.jpg,Lotus,91.344,"(1000, 666)"
./flower_images/Lotus/Lotus_208.jpg,Lotus,14.237,"(393, 128)"
./flower_images/Lotus/Lotus_209.jpg,Lotus,105.376,"(720, 651)"
./flower_images/Lotus/Lotus_210.jpg,Lotus,17.026,"(275, 183)"
./flower_images/Lotus/Lotus_211.jpg,Lotus,149.201,"(1500, 1014)"
./flower_images/Lotus/Lotus_212.jpg,Lotus,13.975,"(228, 221)"
./flower_images/Lotus/Lotus_213.jpg,Lotus,7.508,"(265, 190)"
./flower_images/Lotus/Lotus_214.jpg,Lotus,9.193,"(174, 290)"
./flower_images/Lotus/Lotus_215.jpg,Lotus,41.835,"(588, 294)"
./flower_images/Lotus/Lotus_216.jpg,Lotus,6.777,"(216, 233)"
./flower_images/Lotus/Lotus_217.jpg,Lotus,15.61,"(276, 183)"
./flower_images/Lotus/Lotus_218.jpg,Lotus,18.332,"(275, 183)"
./flower_images/Lotus/Lotus_219.jpg,Lotus,136.89,"(1600, 1067)"
./flower_images/Lotus/Lotus_220.jpg,Lotus,183.839,"(800, 1200)"
./flower_images/Lotus/Lotus_221.jpg,Lotus,55.202,"(600, 600)"
./flower_images/Lotus/Lotus_222.jpg,Lotus,80.086,"(675, 900)"
./flower_images/Lotus/Lotus_223.jpg,Lotus,113.43,"(960, 640)"
./flower_images/Lotus/Lotus_224.jpg,Lotus,7.313,"(205, 246)"
./flower_images/Lotus/Lotus_225.jpg,Lotus,8.231,"(290, 174)"
./flower_images/Lotus/Lotus_226.jpg,Lotus,185.72,"(2048, 1365)"
./flower_images/Lotus/Lotus_227.jpg,Lotus,3.589,"(183, 275)"
./flower_images/Lotus/Lotus_228.jpg,Lotus,152.591,"(1200, 1200)"
./flower_images/Lotus/Lotus_229.jpg,Lotus,10.799,"(276, 183)"
./flower_images/Lotus/Lotus_230.jpg,Lotus,13.611,"(184, 274)"
./flower_images/Lotus/Lotus_231.jpg,Lotus,24.133,"(390, 280)"
./flower_images/Lotus/Lotus_232.jpg,Lotus,18.528,"(225, 225)"
./flower_images/Lotus/Lotus_233.jpg,Lotus,14.812,"(310, 163)"
./flower_images/Lotus/Lotus_234.jpg,Lotus,10.54,"(269, 188)"
./flower_images/Lotus/Lotus_235.jpg,Lotus,12.428,"(225, 225)"
./flower_images/Lotus/Lotus_236.jpg,Lotus,18.974,"(205, 246)"
./flower_images/Lotus/Lotus_237.jpg,Lotus,14.208,"(187, 269)"
./flower_images/Lotus/Lotus_238.jpg,Lotus,33.243,"(612, 573)"
./flower_images/Lotus/Lotus_239.jpg,Lotus,18.75,"(275, 183)"
./flower_images/Lotus/Lotus_240.jpg,Lotus,12.921,"(274, 184)"
./flower_images/Lotus/Lotus_241.jpg,Lotus,15.007,"(360, 360)"
./flower_images/Lotus/Lotus_242.jpg,Lotus,12.095,"(184, 274)"
./flower_images/Lotus/Lotus_243.jpg,Lotus,11.712,"(225, 225)"
./flower_images/Lotus/Lotus_244.jpg,Lotus,194.901,"(1500, 1120)"
./flower_images/Lotus/Lotus_245.jpg,Lotus,67.367,"(991, 1080)"
./flower_images/Lotus/Lotus_246.jpg,Lotus,162.915,"(1500, 1500)"
./flower_images/Lotus/Lotus_247.jpg,Lotus,11.211,"(225, 225)"
./flower_images/Lotus/Lotus_248.jpg,Lotus,16.271,"(225, 225)"
./flower_images/Lotus/Lotus_249.jpg,Lotus,12.802,"(225, 225)"
./flower_images/Lotus/Lotus_250.jpg,Lotus,35.099,"(480, 480)"
./flower_images/Lotus/Lotus_251.jpg,Lotus,32.067,"(540, 360)"
./flower_images/Lotus/Lotus_252.jpg,Lotus,9.127,"(275, 183)"
./flower_images/Lotus/Lotus_253.jpg,Lotus,15.224,"(500, 281)"
./flower_images/Lotus/Lotus_254.jpg,Lotus,11.805,"(299, 168)"
./flower_images/Lotus/Lotus_255.jpg,Lotus,45.137,"(800, 775)"
./flower_images/Lotus/Lotus_256.jpg,Lotus,118.464,"(880, 880)"
./flower_images/Lotus/Lotus_257.jpg,Lotus,255.984,"(1244, 1855)"
./flower_images/Lotus/Lotus_258.jpg,Lotus,20.436,"(225, 225)"
./flower_images/Lotus/Lotus_259.jpg,Lotus,224.096,"(1244, 1640)"
./flower_images/Lotus/Lotus_260.jpg,Lotus,43.893,"(640, 960)"
./flower_images/Lotus/Lotus_261.jpg,Lotus,11.976,"(265, 190)"
./flower_images/Lotus/Lotus_262.jpg,Lotus,6.51,"(275, 183)"
./flower_images/Lotus/Lotus_263.jpg,Lotus,16.771,"(225, 225)"
./flower_images/Lotus/Lotus_264.jpg,Lotus,18.188,"(408, 612)"
./flower_images/Lotus/Lotus_265.jpg,Lotus,17.331,"(360, 254)"
./flower_images/Lotus/Lotus_266.jpg,Lotus,10.515,"(310, 163)"
./flower_images/Lotus/Lotus_267.jpg,Lotus,14.869,"(275, 183)"
./flower_images/Lotus/Lotus_268.jpg,Lotus,11.536,"(301, 167)"
./flower_images/Lotus/Lotus_269.jpg,Lotus,41.751,"(698, 768)"
./flower_images/Lotus/Lotus_270.jpg,Lotus,6.227,"(275, 183)"
./flower_images/Lotus/Lotus_271.jpg,Lotus,5.744,"(259, 194)"
./flower_images/Lotus/Lotus_272.jpg,Lotus,56.873,"(1000, 1333)"
./flower_images/Lotus/Lotus_273.jpg,Lotus,35.311,"(442, 612)"
./flower_images/Lotus/Lotus_274.jpg,Lotus,25.761,"(350, 350)"
./flower_images/Lotus/Lotus_275.jpg,Lotus,13.876,"(390, 280)"
./flower_images/Lotus/Lotus_276.jpg,Lotus,26.312,"(312, 416)"
./flower_images/Lotus/Lotus_277.jpg,Lotus,11.628,"(225, 225)"
./flower_images/Lotus/Lotus_278.jpg,Lotus,104.108,"(800, 400)"
./flower_images/Lotus/Lotus_279.jpg,Lotus,14.918,"(209, 241)"
./flower_images/Lotus/Lotus_280.jpg,Lotus,237.766,"(900, 900)"
./flower_images/Lotus/Lotus_281.jpg,Lotus,14.038,"(183, 276)"
./flower_images/Lotus/Lotus_282.jpg,Lotus,14.334,"(268, 188)"
./flower_images/Lotus/Lotus_283.jpg,Lotus,21.869,"(800, 551)"
./flower_images/Lotus/Lotus_284.jpg,Lotus,10.437,"(390, 280)"
./flower_images/Lotus/Lotus_285.jpg,Lotus,45.372,"(800, 800)"
./flower_images/Lotus/Lotus_286.jpg,Lotus,23.552,"(225, 225)"
./flower_images/Lotus/Lotus_287.jpg,Lotus,7.568,"(225, 225)"
./flower_images/Lotus/Lotus_288.jpg,Lotus,417.434,"(2492, 2765)"
./flower_images/Lotus/Lotus_289.jpg,Lotus,7.23,"(183, 275)"
./flower_images/Lotus/Lotus_290.jpg,Lotus,48.805,"(500, 500)"
./flower_images/Lotus/Lotus_291.jpg,Lotus,26.073,"(236, 295)"
./flower_images/Lotus/Lotus_292.jpg,Lotus,17.446,"(192, 262)"
./flower_images/Lotus/Lotus_293.jpg,Lotus,471.174,"(4478, 2989)"
./flower_images/Lotus/Lotus_294.jpg,Lotus,8.483,"(181, 279)"
./flower_images/Lotus/Lotus_295.jpg,Lotus,28.08,"(333, 500)"
./flower_images/Lotus/Lotus_296.jpg,Lotus,12.87,"(182, 278)"
./flower_images/Lotus/Lotus_297.jpg,Lotus,18.411,"(266, 190)"
./flower_images/Lotus/Lotus_298.jpg,Lotus,168.927,"(800, 800)"
./flower_images/Lotus/Lotus_299.jpg,Lotus,202.344,"(1280, 1600)"
./flower_images/Lotus/Lotus_300.jpg,Lotus,32.584,"(508, 381)"
./flower_images/Lotus/Lotus_301.jpg,Lotus,14.354,"(245, 206)"
./flower_images/Lotus/Lotus_302.jpg,Lotus,7.858,"(224, 225)"
./flower_images/Lotus/Lotus_303.jpg,Lotus,141.233,"(850, 995)"
./flower_images/Lotus/Lotus_304.jpg,Lotus,23.905,"(415, 360)"
./flower_images/Lotus/Lotus_305.jpg,Lotus,112.901,"(1024, 768)"
./flower_images/Lotus/Lotus_306.jpg,Lotus,10.108,"(276, 183)"
./flower_images/Lotus/Lotus_307.jpg,Lotus,6.425,"(225, 225)"
./flower_images/Lotus/Lotus_308.jpg,Lotus,11.741,"(253, 199)"
./flower_images/Lotus/Lotus_309.jpg,Lotus,22.357,"(274, 184)"
./flower_images/Lotus/Lotus_310.jpg,Lotus,10.631,"(420, 280)"
./flower_images/Lotus/Lotus_311.jpg,Lotus,39.798,"(800, 600)"
./flower_images/Lotus/Lotus_312.jpg,Lotus,8.963,"(275, 183)"
./flower_images/Lotus/Lotus_313.jpg,Lotus,10.3,"(193, 261)"
./flower_images/Lotus/Lotus_314.jpg,Lotus,45.479,"(848, 530)"
./flower_images/Lotus/Lotus_315.jpg,Lotus,16.119,"(275, 183)"
./flower_images/Lotus/Lotus_316.jpg,Lotus,13.034,"(225, 225)"
./flower_images/Lotus/Lotus_317.jpg,Lotus,10.928,"(287, 176)"
./flower_images/Lotus/Lotus_318.jpg,Lotus,11.356,"(225, 225)"
./flower_images/Lotus/Lotus_319.jpg,Lotus,8.761,"(259, 194)"
./flower_images/Lotus/Lotus_320.jpg,Lotus,77.001,"(1017, 1024)"
./flower_images/Lotus/Lotus_321.jpg,Lotus,16.603,"(225, 224)"
./flower_images/Lotus/Lotus_322.jpg,Lotus,11.969,"(266, 190)"
./flower_images/Lotus/Lotus_323.jpg,Lotus,135.121,"(642, 642)"
./flower_images/Lotus/Lotus_324.jpg,Lotus,8.556,"(260, 280)"
./flower_images/Lotus/Lotus_325.jpg,Lotus,15.337,"(180, 280)"
./flower_images/Lotus/Lotus_326.jpg,Lotus,10.16,"(225, 225)"
./flower_images/Lotus/Lotus_327.jpg,Lotus,30.5,"(598, 600)"
./flower_images/Lotus/Lotus_328.jpg,Lotus,98.759,"(1024, 1024)"
./flower_images/Lotus/Lotus_329.jpg,Lotus,13.637,"(294, 171)"
./flower_images/Lotus/Lotus_330.jpg,Lotus,189.556,"(2000, 1143)"
./flower_images/Lotus/Lotus_331.jpg,Lotus,11.63,"(225, 225)"
./flower_images/Lotus/Lotus_332.jpg,Lotus,87.64,"(800, 800)"
./flower_images/Lotus/Lotus_333.jpg,Lotus,12.469,"(216, 233)"
./flower_images/Lotus/Lotus_334.jpg,Lotus,80.302,"(1200, 630)"
./flower_images/Lotus/Lotus_335.jpg,Lotus,9.401,"(225, 225)"
./flower_images/Lotus/Lotus_336.jpg,Lotus,113.896,"(1280, 960)"
./flower_images/Lotus/Lotus_337.jpg,Lotus,20.427,"(225, 225)"
./flower_images/Lotus/Lotus_338.jpg,Lotus,96.205,"(1024, 682)"
./flower_images/Lotus/Lotus_339.jpg,Lotus,28.229,"(510, 340)"
./flower_images/Lotus/Lotus_340.jpg,Lotus,10.125,"(204, 247)"
./flower_images/Lotus/Lotus_341.jpg,Lotus,28.55,"(416, 416)"
./flower_images/Lotus/Lotus_342.jpg,Lotus,11.888,"(299, 169)"
./flower_images/Lotus/Lotus_343.jpg,Lotus,13.474,"(300, 168)"
./flower_images/Lotus/Lotus_344.jpg,Lotus,12.62,"(183, 275)"
./flower_images/Lotus/Lotus_345.jpg,Lotus,14.022,"(310, 163)"
